id	created_at	author	location	full_text	category	sentiment
1.46148E+18	2021-11-18 23:58:20+00:00	Saint Glow	"Los Angeles, CA"	#Eternals be like	o	n 
1.46148E+18	2021-11-18 23:56:21+00:00	lɑnᧉ. ★	"✰ . . . 𝗷𝗶𝗺𝗶𝗻, you are my shooting star, the brightest among all others, I will love you all the days of my life.  ִ 𝆬     ˓˓   🗝️⃞   ۪ "	"@hudblish jimin.
#gfvip #tzvip #rosmello #prelemi #gregorelli #squidgame #dispatchcouple #bbtvi21 #AFazenda #Dune #Eternals #Eternos #AMAs #TXT 

"	p	n
1.46148E+18	2021-11-18 23:55:37+00:00	Marvel Tesseract	"Avengers Tower, New York"	Character poster of Harry Styles as Eros in #Eternals 	h	n
1.46148E+18	2021-11-18 23:54:35+00:00	MCU Times	USA	Don’t miss the #1 MOVIE in the WORLD Marvel Studios’ #Eternals! Experience the 	o	p
1.46148E+18	2021-11-18 23:54:34+00:00	Toni Snark	"Hamilton, New Zealand"	I'm going to see #Eternals tonight.	o	n
1.46148E+18	2021-11-18 23:51:32+00:00	Rabia Connie Dixon #TWDSpoilers		"Lauren ridloff and Lia McHugh went to Harry Styles's concert and he was signing to Lauren on the stage😭
This is so sweat of Harry, I am already in love with him🥺❤️#Eternals #Makkari #laurenridloff "	h	p
1.46148E+18	2021-11-18 23:48:27+00:00	Christian Mason	United States	🚨New Video🚨 Barry Keoghan is the Joker in The Batman? #TheBatman #Joker #BarryKeoghan #RobertPattinson #Batman #Druig #Eternals #SpiderManNoWayHome #DCFanDome  #DoctorStrangeInTheMultiverseOfMadness #MattReeves #BlackPantherWakandaForever 	c	n
1.46148E+18	2021-11-18 23:45:16+00:00	Cards Against Humanity	Hollywood CA	"Add this hysterical #Disney game to your collection! #Eternals   #EternalsTH   #EternalsGilgamesh   #EternalsID   	
@cardsagainstwho @cardsagainst100 @CardsAgainstRef @CardsAgainstUrb @cardsAgainstTW

"	o	n
1.46148E+18	2021-11-18 23:39:21+00:00	Michael Leslie	Midwest	Saw #Eternals a couple days ago. Not sure what folks were on about. I enjoyed it. Glad Marvel still has the wherewithal to make something new and interesting.	o	p
1.46148E+18	2021-11-18 23:39:01+00:00	abicastre.eth	The Metaverse	"@Lowtrippy nice, it remembers me the #eternals movie. i just bougth amazing job, have a nice day"	o	n
1.46148E+18	2021-11-18 23:38:48+00:00	LaserGeek2000	"Philadelphia, Pennsylvania"	A new episode of the podcast is posted! #SpiderManNoWayHome #SpiderMan #Eternals #BobaFett #bookofbobafett #obiwanKenobi #StarWars #Marvel #DisneyPlus 	o	n
1.46148E+18	2021-11-18 23:38:41+00:00	Lauren “wear a mask” Shannon	"tokyo, japan"	Went last night and really enjoyed it! #Eternals 	o	p
1.46148E+18	2021-11-18 23:38:35+00:00	iEarl 💫	"Cagayan De Oro City, Northern "	"LOOK: Harry Styles is Eros, the Royal Prince of Titan, brother of Thanos, the Knave of Hearts, defeater of Black Roger, the great adventurer, Starfox. ⭐️🦊

Catch him in Marvel Studios’ #Eternals. Now in the US. Opens Dec 1 in PH theaters.

"	h	n
1.46148E+18	2021-11-18 23:36:40+00:00	Xavier	Youtube 👉🏻	"Oh #Bitcoin and the alts gang dropping? 

@CryptoMinesApp hold my gems

#btc #eternals #cryptomines $eternals "	m	n
1.46148E+18	2021-11-18 23:36:28+00:00	Dannie ✪ Michael day	Sam & Kat♡ ~ Leonardo💙🐢	I’m finally watching #eternals tomorrow night ayy	o	p
1.46148E+18	2021-11-18 23:34:53+00:00	💰𝙏𝘼𝙌𝙐𝙄𝘽𝙊𝙓💰	España	"🇺🇸TAQUILLA MIÉRCOLES🇺🇸

1️⃣ #Eternals $1,61M (123,6M)
2️⃣ #Clifford $715,1k (24,8M)
3️⃣ #Dune $486,0k (94,7M)
4️⃣ #NoTimeToDie $391,6k (151,6M)
5️⃣ #Venom2 $270,3k (203,5M)
6️⃣ #TheFrenchDispatch $204,5k (12,1M)
7️⃣ #Belfast $173,6k (2,3M)
8️⃣ #RonsGoneWrong $102,7k (21,1M) "	m	n
1.46148E+18	2021-11-18 23:31:56+00:00	Mits Jutley	London	"Really enjoyed #MarvelStudios #Eternals 
Great cast but, @kumailn and @BarryKeoghan were my stand out characters
#Kingo #Druig
#OneDirection"	o	p
1.46148E+18	2021-11-18 23:30:54+00:00	Kelly-Anne’s Art :)	UK	"…The mid and end credits were more interesting than the actual film. Can’t wait to see Dane return as the Black Knight. Also, I thought Harry Styles said his name was Arass. I didn’t find out til later that he’s Eros. And that Pip was annoying already. #Eternals  #danewhitman"	p	x
1.46148E+18	2021-11-18 23:30:44+00:00	Lord Stark Potter	"Durban, South Africa"	"Apparently #goldenglobes is joke awards 💀😬😐

Like just because your talentless favorite from #Eternals didn't win any major awards like GoldenGlobes or #academyawards or Nominations like #RichardMadden,  #AngelinaJolie and #SalmaHayek respectively 

Don't be hating 🤷‍♂️"	c	p
1.46148E+18	2021-11-18 23:29:04+00:00	Andrew Le Breton	"London, England"	"Just watched #Eternals and holy stunt casting, Batman."	c	p
1.46148E+18	2021-11-18 23:28:35+00:00	Team Lunchbox		"We review and discuss Marvel Studio’s latest offereng, Eternals. @Lewbidoo @alexcorrehuh @michellechalm 

"	o	n
1.46148E+18	2021-11-18 23:28:07+00:00	🌻🌸Autumn🐈‍⬛🌹		"“My beautiful, beautiful makkari”#Eternals #Druig"	e	p 
1.46147E+18	2021-11-18 23:21:39+00:00	Drü - #ReleaseTheAyerCut	Gotham	"Harvesting the core was suicide.

Nearly!

#RestoreTheSnyderverse
#Eternals "	p	p
1.46147E+18	2021-11-18 23:20:57+00:00	Victoria		"Fave thinker #Druig, Fave fighter #Makkari #Eternals"	e	p 
1.46147E+18	2021-11-18 23:19:28+00:00	Callum Crumlish	"Essex, UK"	Hey yes I’m 6+ weeks late but #Eternals was a complete snooooze. Really hollow and chaotic. Bad.	p	x
1.46147E+18	2021-11-18 23:18:51+00:00	Louise de Guyenro		"Nothing, just showing my favorite eternals. I love them all btw, well except one
Saw the movie twice already, I just love it so much ! 🔥 #Eternals #MCU "	e	p
1.46147E+18	2021-11-18 23:18:20+00:00	Bad Disney Advice	River Country	If you’ve seen #Eternals how would you rank it amongst other MCU movies	o	n
