	id	created_at	author	location	full_text	category	sentiment
0	1.46148e+18	2021-11-18 23:58:20+00:00	Saint Glow	Los Angeles, CA	#Eternals be like	o	n 
1	1.46148e+18	2021-11-18 23:56:21+00:00	lɑnᧉ. ★	✰ . . . 𝗷𝗶𝗺𝗶𝗻, you are my shooting star, the brightest among all others, I will love you all the days of my life.  ִ 𝆬     ˓˓   🗝️⃞   ۪ 	"@hudblish jimin.
#gfvip #tzvip #rosmello #prelemi #gregorelli #squidgame #dispatchcouple #bbtvi21 #AFazenda #Dune #Eternals #Eternos #AMAs #TXT 

"	p	n
2	1.46148e+18	2021-11-18 23:55:37+00:00	Marvel Tesseract	Avengers Tower, New York	Character poster of Harry Styles as Eros in #Eternals 	h	n
3	1.46148e+18	2021-11-18 23:54:35+00:00	MCU Times	USA	Don’t miss the #1 MOVIE in the WORLD Marvel Studios’ #Eternals! Experience the 	o	p
4	1.46148e+18	2021-11-18 23:54:34+00:00	Toni Snark	Hamilton, New Zealand	I'm going to see #Eternals tonight.	o	n
5	1.46148e+18	2021-11-18 23:51:32+00:00	Rabia Connie Dixon #TWDSpoilers		"Lauren ridloff and Lia McHugh went to Harry Styles's concert and he was signing to Lauren on the stage😭
This is so sweat of Harry, I am already in love with him🥺❤️#Eternals #Makkari #laurenridloff "	h	p
6	1.46148e+18	2021-11-18 23:48:27+00:00	Christian Mason	United States	🚨New Video🚨 Barry Keoghan is the Joker in The Batman? #TheBatman #Joker #BarryKeoghan #RobertPattinson #Batman #Druig #Eternals #SpiderManNoWayHome #DCFanDome  #DoctorStrangeInTheMultiverseOfMadness #MattReeves #BlackPantherWakandaForever 	c	n
7	1.46148e+18	2021-11-18 23:45:16+00:00	Cards Against Humanity	Hollywood CA	"Add this hysterical #Disney game to your collection! #Eternals   #EternalsTH   #EternalsGilgamesh   #EternalsID   	
@cardsagainstwho @cardsagainst100 @CardsAgainstRef @CardsAgainstUrb @cardsAgainstTW

"	o	n
8	1.46148e+18	2021-11-18 23:39:21+00:00	Michael Leslie	Midwest	Saw #Eternals a couple days ago. Not sure what folks were on about. I enjoyed it. Glad Marvel still has the wherewithal to make something new and interesting.	p	p
9	1.46148e+18	2021-11-18 23:39:01+00:00	abicastre.eth	The Metaverse	@Lowtrippy nice, it remembers me the #eternals movie. i just bougth amazing job, have a nice day	o	n
10	1.46148e+18	2021-11-18 23:38:48+00:00	LaserGeek2000	Philadelphia, Pennsylvania	A new episode of the podcast is posted! #SpiderManNoWayHome #SpiderMan #Eternals #BobaFett #bookofbobafett #obiwanKenobi #StarWars #Marvel #DisneyPlus 	o	n
11	1.46148e+18	2021-11-18 23:38:41+00:00	Lauren “wear a mask” Shannon	tokyo, japan	Went last night and really enjoyed it! #Eternals 	o	p
12	1.46148e+18	2021-11-18 23:38:35+00:00	iEarl 💫	Cagayan De Oro City, Northern 	"LOOK: Harry Styles is Eros, the Royal Prince of Titan, brother of Thanos, the Knave of Hearts, defeater of Black Roger, the great adventurer, Starfox. ⭐️🦊

Catch him in Marvel Studios’ #Eternals. Now in the US. Opens Dec 1 in PH theaters.

"	h	n
13	1.46148e+18	2021-11-18 23:36:40+00:00	Xavier	Youtube 👉🏻	"Oh #Bitcoin and the alts gang dropping? 

@CryptoMinesApp hold my gems

#btc #eternals #cryptomines $eternals "	m	n
14	1.46148e+18	2021-11-18 23:36:28+00:00	Dannie ✪ Michael day	Sam & Kat♡ ~ Leonardo💙🐢	I’m finally watching #eternals tomorrow night ayy	o	p
15	1.46148e+18	2021-11-18 23:34:53+00:00	💰𝙏𝘼𝙌𝙐𝙄𝘽𝙊𝙓💰	España	"🇺🇸TAQUILLA MIÉRCOLES🇺🇸

1️⃣ #Eternals $1,61M (123,6M)
2️⃣ #Clifford $715,1k (24,8M)
3️⃣ #Dune $486,0k (94,7M)
4️⃣ #NoTimeToDie $391,6k (151,6M)
5️⃣ #Venom2 $270,3k (203,5M)
6️⃣ #TheFrenchDispatch $204,5k (12,1M)
7️⃣ #Belfast $173,6k (2,3M)
8️⃣ #RonsGoneWrong $102,7k (21,1M) "	m	n
